OrderID,OrderDate,Region,Country,Category,Sub-Category,Product,Quantity,UnitPrice,Discount,Sales,Profit
ORD100979,2023-01-01,North,Norway,Furniture,Chairs,Chairs Model 760,5,96.48,0.0,482.4,78.83
ORD101975,2023-01-01,Central,Germany,Furniture,Chairs,Chairs Model 585,7,309.41,0.1,2165.87,171.71
ORD100648,2023-01-01,South,Australia,Office Supplies,Paper,Paper Model 497,8,138.54,0.0,1108.32,194.22
ORD100755,2023-01-01,South,India,Technology,Accessories,Accessories Model 152,4,477.73,0.0,1910.92,374.32
ORD101137,2023-01-01,West,USA,Furniture,Tables,Tables Model 942,3,85.75,0.05,257.25,35.76
ORD100268,2023-01-02,North,Norway,Technology,Computers,Computers Model 855,2,179.36,0.0,358.72,28.23
ORD100212,2023-01-02,North,UK,Office Supplies,Pens,Pens Model 970,4,249.7,0.0,998.8,106.2
ORD100068,2023-01-02,East,China,Technology,Computers,Computers Model 413,7,162.36,0.0,1136.52,211.77
ORD101799,2023-01-02,East,Japan,Office Supplies,Binders,Binders Model 665,6,43.64,0.0,261.84,34.27
ORD101913,2023-01-02,Central,Germany,Technology,Phones,Phones Model 234,5,108.83,0.0,544.15,68.01
ORD101491,2023-01-03,Central,France,Office Supplies,Paper,Paper Model 219,3,213.51,0.0,640.53,49.92
ORD101549,2023-01-03,North,UK,Technology,Accessories,Accessories Model 971,4,276.61,0.0,1106.44,153.32
ORD100883,2023-01-03,North,UK,Office Supplies,Pens,Pens Model 271,5,215.23,0.0,1076.15,202.46
ORD101300,2023-01-04,Central,France,Office Supplies,Binders,Binders Model 137,5,282.64,0.0,1413.2,221.35
ORD100955,2023-01-04,East,China,Technology,Computers,Computers Model 384,8,376.92,0.05,3015.36,289.68
ORD100721,2023-01-05,East,China,Furniture,Tables,Tables Model 374,3,292.13,0.0,876.39,137.58
ORD100833,2023-01-05,West,Canada,Office Supplies,Paper,Paper Model 201,5,78.47,0.0,392.35,80.62
ORD100132,2023-01-05,Central,France,Office Supplies,Binders,Binders Model 784,4,93.49,0.1,373.96,7.61
ORD100420,2023-01-05,West,USA,Furniture,Bookcases,Bookcases Model 428,3,339.69,0.05,1019.07,150.72
ORD101024,2023-01-05,North,UK,Office Supplies,Paper,Paper Model 308,5,323.4,0.0,1617.0,395.21
ORD100951,2023-01-06,Central,France,Office Supplies,Binders,Binders Model 515,5,119.98,0.0,599.9,77.8
ORD101685,2023-01-07,North,UK,Furniture,Tables,Tables Model 998,1,242.16,0.0,242.16,30.28
ORD100882,2023-01-07,East,Japan,Technology,Accessories,Accessories Model 234,4,70.83,0.1,283.32,21.22
ORD101832,2023-01-07,South,India,Furniture,Bookcases,Bookcases Model 501,3,234.1,0.05,702.3,114.04
ORD101251,2023-01-07,East,Japan,Technology,Accessories,Accessories Model 372,4,488.76,0.1,1955.04,123.38
ORD101617,2023-01-07,East,Japan,Office Supplies,Pens,Pens Model 497,2,308.86,0.1,617.72,77.66
